Time (CAT);Open;High;Low;Close;Volume 
01/01/2015 00:00:00;1.20996;1.20997;1.20996;1.20997;1.5
01/01/2015 01:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 02:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 03:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 04:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 05:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 06:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 07:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 08:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 09:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 10:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 11:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 12:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 13:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 14:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 15:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 16:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 17:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 18:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 19:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 20:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 21:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 22:00:00;1.20997;1.20997;1.20997;1.20997;0
01/01/2015 23:00:00;1.20997;1.20997;1.20997;1.20997;0
02/01/2015 00:00:00;1.21066;1.21082;1.21008;1.21024;1027.68
02/01/2015 01:00:00;1.21024;1.21026;1.20787;1.20879;4622.87
02/01/2015 02:00:00;1.20879;1.20897;1.20673;1.20679;3533.86
02/01/2015 03:00:00;1.20678;1.20726;1.20521;1.20674;5923.17
02/01/2015 04:00:00;1.20674;1.2069;1.20482;1.20591;3668.65
